Age	Gender	Speaker	Vowel	Context	F1	F2
O	M	M1940	e	neck	554.551	1594.334
O	M	M1940	e	says	439.54	1699.294
O	M	M1940	e	belly	528.091	1208.947
O	M	M1940	e	stef	564.429	1493.38
O	M	M1940	e	beg	503.307	1633.861
O	M	M1940	e	jess	493.606	1517.684
O	M	M1940	e	gem	442.891	1648.016
Y	F	F1991	e	bet	558.608	1622.11
Y	F	F1991	e	bed	554.198	1654.693
Y	F	F1991	e	pen	541.586	1769.267
Y	F	F1991	e	says	547.231	1613.564
Y	F	F1991	e	sell	565.311	1255.952
Y	F	F1991	e	neck	535.765	1617.837
Y	F	F1991	e	belly	538.234	1257.554
Y	F	F1991	e	stef	497.134	1665.376
Y	F	F1991	e	beg	533.031	1668.581
Y	F	F1991	e	jess	598.474	1461.064
Y	F	F1991	e	gem	442.627	1736.684
Y	F	F1989	e	stef	568.31	1525.963
Y	F	F1989	e	jess	558.961	1450.649
Y	F	F1989	e	bet	530.561	1556.41
Y	F	F1989	e	neck	567.34	1597.005
Y	F	F1989	e	sell	534.794	1437.295
Y	F	F1989	e	belly	510.804	1468.543
Y	F	F1989	e	gem	587.185	1510.74
Y	F	F1989	e	pen	539.645	1594.334
Y	F	F1989	e	says	517.948	1536.646
Y	F	F1989	e	bed	517.155	1541.187
Y	F	F1989	e	beg	497.134	1611.427
Y	F	F1988b	e	bet	522.623	1599.142
Y	F	F1988b	e	bed	487.079	1629.054
Y	F	F1988b	e	pen	538.322	1621.309
Y	F	F1988b	e	says	530.208	1624.246
Y	F	F1988b	e	sell	550.582	1494.449
Y	F	F1988b	e	neck	543.879	1661.103
Y	F	F1988b	e	belly	561.783	1490.71
Y	F	F1988b	e	stef	543.173	1631.725
Y	F	F1988b	e	beg	506.659	1643.476
Y	F	F1988b	e	jess	548.642	1635.196
Y	F	F1988b	e	gem	544.055	1632.793
Y	F	F1988a	e	bet	585.333	1498.188
Y	F	F1988a	e	bed	542.644	1565.223
Y	F	F1988a	e	pen	515.567	1627.451
Y	F	F1988a	e	says	501.896	1545.727
Y	F	F1988a	e	sell	589.742	1334.205
Y	F	F1988a	e	neck	572.014	1443.972
Y	F	F1988a	e	belly	558.255	1440.233
Y	F	F1988a	e	stef	590.36	1427.68
Y	F	F1988a	e	beg	546.966	1523.293
Y	F	F1988a	e	jess	588.949	1435.425
Y	F	F1988a	e	gem	575.631	1438.096
Y	F	F1984	e	stef	568.31	1452.518
Y	F	F1984	e	jess	554.816	1450.382
Y	F	F1984	e	bet	536.911	1545.994
Y	F	F1984	e	neck	579.335	1516.883
Y	F	F1984	e	sell	581.187	1412.991
Y	F	F1984	e	belly	512.921	1421.805
Y	F	F1984	e	gem	513.45	1626.116
Y	F	F1984	e	pen	537.264	1645.345
Y	F	F1984	e	says	508.247	1502.461
Y	F	F1984	e	bed	506.042	1617.035
Y	F	F1984	e	beg	499.074	1636.532
O	F	F1961	e	bet	493.341	1544.659
O	F	F1961	e	bed	512.039	1543.857
O	F	F1961	e	pen	532.678	1573.77
O	F	F1961	e	says	500.661	1571.633
O	F	F1961	e	sell	551.023	1513.678
O	F	F1961	e	neck	562.842	1600.21
O	F	F1961	e	belly	526.416	1472.282
O	F	F1961	e	stef	543.614	1547.329
O	F	F1961	e	beg	509.57	1693.151
O	F	F1961	e	jess	521.124	1505.132
