Age	Gender	Speaker	Vowel	Context	F1	F2
O	M	M1943	u	gum	519.536	1271.709
O	M	M1940	u	fuss	620.877	1210.816
O	M	M1940	u	hug	541.674	1233.251
O	M	M1940	u	rough	574.131	1219.363
O	M	M1940	u	buzz	608.97	1312.037
O	M	M1940	u	gull	505.336	1086.093
O	M	M1940	u	mud	545.996	1312.037
O	M	M1940	u	stuck	615.585	1298.15
O	M	M1940	u	mutt	590.448	1296.814
O	M	M1940	u	gully	546.084	1291.206
O	M	M1940	u	run	451.535	1218.295
O	M	M1940	u	gum	515.391	1274.38
Y	F	F1991	u	fuss	596.446	1320.05
Y	F	F1991	u	hug	537.352	1341.683
Y	F	F1991	u	rough	577.747	1320.851
Y	F	F1991	u	buzz	525.445	1417.264
Y	F	F1991	u	gull	511.069	1110.13
Y	F	F1991	u	mud	529.591	1333.67
Y	F	F1991	u	stuck	597.68	1412.991
Y	F	F1991	u	mutt	573.778	1214.556
Y	F	F1991	u	gully	531.972	1138.974
Y	F	F1991	u	run	521.388	1413.258
Y	F	F1991	u	gum	552.522	1276.517
Y	F	F1989	u	fuss	549.524	1266.368
Y	F	F1989	u	rough	558.255	1287.2
Y	F	F1989	u	stuck	550.847	1254.617
Y	F	F1989	u	mutt	601.473	1266.635
Y	F	F1989	u	gull	494.84	1212.953
Y	F	F1989	u	gully	499.427	1326.192
Y	F	F1989	u	gum	571.397	1349.161
Y	F	F1989	u	run	502.778	1454.655
Y	F	F1989	u	buzz	525.71	1267.169
Y	F	F1989	u	hug	533.119	1290.939
Y	F	F1989	u	mud	518.83	1315.776
Y	F	F1988b	u	fuss	591.154	1312.304
Y	F	F1988b	u	hug	533.119	1303.491
Y	F	F1988b	u	rough	606.059	1317.913
Y	F	F1988b	u	buzz	559.931	1294.678
Y	F	F1988b	u	gull	567.516	1217.493
Y	F	F1988b	u	mud	594.946	1273.045
Y	F	F1988b	u	stuck	548.995	1511.808
Y	F	F1988b	u	mutt	598.651	1265.834
Y	F	F1988b	u	gully	551.464	1293.075
Y	F	F1988b	u	run	579.423	1299.485
Y	F	F1988b	u	gum	572.367	1275.982
Y	F	F1988a	u	fuss	590.183	1341.95
Y	F	F1988a	u	hug	578.541	1318.714
Y	F	F1988a	u	rough	567.34	1278.92
Y	F	F1988a	u	buzz	538.763	1371.328
Y	F	F1988a	u	gull	487.343	1074.609
Y	F	F1988a	u	mud	549.436	1422.072
Y	F	F1988a	u	stuck	580.923	1355.57
Y	F	F1988a	u	mutt	559.137	1416.997
Y	F	F1988a	u	gully	512.039	1245.803
Y	F	F1988a	u	run	535.5	1298.417
Y	F	F1988a	u	gum	583.657	1275.448
Y	F	F1984	u	fuss	569.633	1321.118
Y	F	F1984	u	rough	553.228	1304.826
Y	F	F1984	u	stuck	548.201	1381.477
Y	F	F1984	u	mutt	580.393	1375.067
Y	F	F1984	u	gull	485.315	1324.323
Y	F	F1984	u	gully	514.685	1300.286
Y	F	F1984	u	gum	572.808	1374.533
Y	F	F1984	u	run	544.32	1429.55
Y	F	F1984	u	buzz	523.329	1375.601
Y	F	F1984	u	hug	556.227	1312.304
Y	F	F1984	u	mud	532.149	1327.795
O	F	F1961	u	fuss	553.052	1306.963
O	F	F1961	u	hug	524.828	1322.72
O	F	F1961	u	rough	566.546	1362.247
O	F	F1961	u	buzz	539.469	1341.148
O	F	F1961	u	gull	546.878	1250.076
O	F	F1961	u	mud	588.331	1292.274
O	F	F1961	u	stuck	564.959	1246.604
O	F	F1961	u	mutt	644.955	1322.186
O	F	F1961	u	gully	538.499	1332.068
O	F	F1961	u	run	531.443	1229.512
O	F	F1961	u	gum	585.244	1335.273
O	F	F1957	u	fuss	568.928	1172.091
O	F	F1957	u	rough	579.423	1125.086
O	F	F1957	u	stuck	548.113	1102.118
O	F	F1957	u	mutt	630.931	1430.885
O	F	F1957	u	gull	544.32	1244.468
O	F	F1957	u	gully	561.166	1246.337
O	F	F1957	u	gum	542.115	1242.331
