speaker,vowel/frame,context,F1,F2
M1989,o,nod,736.785428,1168.371619
M1989,o,holly,685.0620883,913.645628
M1989,o,gone,768.438798,1075.731483
M1989,o,soft,705.0502021,1019.727225
M1989,o,mom,745.5607755,954.4014681
M1989,o,lot,731.5079081,1000.708595
M1989,OR,door,529.0902993,1018.207854
M1989,OR,george,523.9855855,1026.359602
M1989,OR,poured,522.6238855,925.7887686
M1989,OU,kosher,531.7112625,1268.035149
M1989,OU,crow,588.0136718,1198.062717
M1989,OU,stone,649.2446271,1474.502534
M1989,u,fuss,744.4246121,1224.666116
M1989,u,hug,709.7069247,1276.492018
M1989,u,rough,740.0264618,1185.667856
M1989,u,buzz,691.1419575,1197.849526
M1989,u,gull,709.3485758,1194.53708
M1989,u,mud,717.9837874,1294.201609
M1989,u,stuck,730.7258097,1303.639077
M1989,u,mutt,769.0813211,1299.237351
M1989,u,gully,692.9228293,1211.280355
M1989,u,run,747.3829076,1284.750431
M1989,u,gum,748.3156932,1287.581084
M1989,UU,supermarket,294.4291893,1820.929338
M1989,UU,room,480.6889528,1396.722847
M1989,UU,food,388.1565882,1439.803209
M1988,ae,staff,808.4287494,1601.752298
M1988,ae,stack,861.7782979,1767.93657
M1988,ae,ham,663.4736649,1873.976327
M1988,ae,lab,793.9039593,1579.738944
M1988,ae,pass,847.3264855,1612.880867
M1988,ae,valley,844.0102618,1486.168502
M1988,ae,jazz,768.8801946,1576.380053
M1988,ae,bad,798.3121614,1753.953083
M1988,ae,pan,659.8177097,1892.771601
M1988,ae,rat,877.1329384,1703.297382
M1988,ae,sal,893.4615685,1604.854431
M1988,AI,buy,784.4033298,1317.826758
M1988,AI,mike,783.6771985,1585.238403
M1988,AI,mike,763.3233412,1531.124002
M1988,e,bet,678.1239654,1953.571044
M1988,e,bed,620.2228512,1866.778809
M1988,e,pen,621.2284814,2015.903959
M1988,e,says,604.9153719,1820.868508
M1988,e,sell,677.4536679,1667.466928
M1988,e,neck,705.8235311,1833.517474
M1988,e,belly,610.0884907,1792.799059
M1988,e,stef,659.0834435,1840.651876
M1988,e,beg,639.1782075,2077.977995
M1988,e,jess,672.5106221,1811.678246
M1988,e,gem,632.0229618,1849.876878
M1988,EI,make,563.0686039,1997.972182
M1988,EI,make,584.0429145,1954.502299
M1988,EI,game,411.5655325,2376.408317
M1988,EI,play,564.913299,1700.397415
M1988,I,bit,513.3902522,1900.166988
M1988,II,sleep,337.1655568,2163.83284
M1988,II,believe,300.8421939,2444.995055
M1988,II,easy,333.1963022,2358.220335
M1988,II,keeps,283.2234984,2464.400651
M1988,II,clean,439.757357,2355.415235
M1988,II,treat,343.6368005,2107.977371
M1988,o,mall,740.7888463,1052.755074
M1988,o,loss,740.4911624,1107.560397
M1988,o,knob,832.4879139,1148.635404
M1988,o,sock,768.6236222,1203.034015
M1988,o,cause,743.4199851,1138.540259
M1988,o,nod,728.7976787,1179.979836
M1988,o,holly,696.119655,1090.558434
M1988,o,gone,756.0419367,1075.153322
M1988,o,soft,756.3291139,1182.31511
M1988,o,mom,743.4119025,1053.419545
M1988,o,lot,766.2280359,1085.478301
M1988,OR,door,498.6988137,1089.160694
M1988,OR,george,480.8547642,1077.020067
M1988,OR,poured,561.311792,862.6214678
M1988,OU,kosher,494.1908605,1131.522598
M1988,OU,crow,618.5932694,1279.748042
M1988,OU,stone,606.5570388,1491.374717
M1988,u,fuss,737.5457393,1351.092235
M1988,u,hug,736.0319492,1382.930201
M1988,u,rough,757.7973068,1310.505938
M1988,u,buzz,722.6267519,1307.816149
M1988,u,gull,724.1628467,1351.152258
M1988,u,mud,731.9993211,1389.153687
M1988,u,stuck,708.5974851,1409.13496
M1988,u,mutt,808.6360785,1287.654731
M1988,u,gully,680.1087328,1274.875217
M1988,u,run,779.9816842,1304.851603
M1988,u,gum,757.6483986,1326.428131
M1988,UU,supermarket,344.2352234,1775.701828
M1988,UU,room,492.9276658,1666.653339
M1988,UU,food,368.1051495,1500.052993
M1987,ae,staff,840.382944,1456.592606
M1987,ae,stack,839.4216074,1474.483145
M1987,ae,ham,917.1680116,1554.380826
M1987,ae,lab,843.5092479,1427.838111
M1987,ae,pass,799.8478003,1325.521328
M1987,ae,valley,778.3554233,1447.989511
M1987,ae,jazz,897.8281074,1541.20261
M1987,ae,bad,771.3851257,1485.130101
M1987,ae,pan,862.1824176,1593.090361
M1987,ae,rat,790.7633097,1447.380166
M1987,ae,sal,814.0714944,1443.130994
M1987,AI,buy,816.3880747,1345.341713
M1987,AI,mike,787.1400937,1489.886059
M1987,AI,mike,814.7257335,1677.707007
M1987,e,bet,691.5655386,1671.932665
M1987,e,bed,690.8406027,1741.638992
M1987,e,pen,792.434172,1668.778772
M1987,e,says,651.8719795,1658.631657
M1987,e,sell,659.2712715,1523.849761
M1987,e,neck,712.2517395,1777.226896
M1987,e,belly,604.338287,1573.718388
M1987,e,stef,699.767094,1630.49792
M1987,e,beg,682.5769387,1726.220855
M1987,e,jess,700.4888609,1573.147359
M1987,e,gem,782.2810866,1619.905533
M1987,EI,make,581.842745,1881.537312
M1987,EI,make,588.2391928,1926.332837
M1987,EI,game,395.3467944,1996.589768
M1987,EI,play,498.1253202,1763.214757
M1987,I,bit,595.1986328,1636.767299
M1987,II,sleep,284.6473929,1979.85327
M1987,II,believe,347.4182456,2204.420532
M1987,II,easy,359.154165,2161.871208
M1987,II,keeps,303.0480188,2025.064879
M1987,II,clean,450.0766947,1954.396659
M1987,II,treat,359.2593045,2053.129166
M1987,o,mall,904.0005166,957.044747
M1987,o,loss,766.2359171,1077.825312
M1987,o,knob,857.2374283,1147.403806
M1987,o,sock,764.4596304,1190.361824
M1987,o,cause,806.3265336,1133.88604
M1987,o,nod,947.8875044,1061.23591
M1987,o,holly,672.5270416,1052.399518
M1987,o,gone,733.2249845,1059.048462
M1987,o,soft,791.7450846,1152.072762
M1987,o,mom,814.7820847,1064.541156
M1987,o,lot,728.0328886,1119.719413
M1987,OR,door,594.6304059,1275.388869
M1987,OR,george,537.1763983,968.3011769
M1987,OR,poured,589.359611,1022.550013
M1987,OU,kosher,579.7143139,1325.320785
M1987,OU,crow,675.1115187,1285.514795
M1987,OU,stone,632.240967,1708.606005
M1987,u,fuss,747.1528698,1386.402581
M1987,u,hug,699.8687127,1361.69909
M1987,u,rough,694.2015403,1374.602485
M1987,u,buzz,662.6902051,1292.595862
M1987,u,gull,679.0877758,1264.777328
M1987,u,mud,702.8222666,1430.334751
M1987,u,stuck,748.9830912,1398.570513
M1987,u,mutt,770.5074273,1307.67006
M1987,u,gully,641.6612557,1383.916206
M1987,u,run,766.3160348,1355.280294
M1987,u,gum,768.4865047,1404.668248
M1987,UU,supermarket,449.3872709,1982.622739
M1987,UU,room,610.3173136,1349.072455
M1987,UU,food,416.3770207,1608.3839
M1961,ae,staff,763.7762364,1527.311302
M1961,ae,stack,863.6162567,1640.775163
M1961,ae,ham,759.4292225,1760.519331
M1961,ae,lab,755.9572382,1602.38766
M1961,ae,pass,783.7244752,1624.84907
M1961,ae,valley,772.3836484,1558.412712
M1961,ae,jazz,728.8567029,1636.110031
M1961,ae,bad,715.1162612,1671.46173
M1961,ae,pan,762.3502514,1773.706245
M1961,ae,rat,849.1199324,1542.132752
M1961,ae,sal,774.1141383,1618.937424
M1961,AI,buy,659.1267188,1145.592001
M1961,AI,mike,780.1685038,1483.802462
M1961,AI,mike,691.6600999,1596.179581
M1961,e,bet,646.5429858,1930.835655
M1961,e,bed,606.884742,1879.662121
M1961,e,pen,600.0501779,2037.280846
M1961,e,says,588.5906549,1825.584149
M1961,e,sell,621.4260811,1753.611611
M1961,e,neck,638.4071665,1883.290517
M1961,e,belly,549.8995624,1707.783021
M1961,e,stef,628.7812895,1835.940864
M1961,e,beg,624.5411989,1912.407841
M1961,e,jess,651.2372149,1773.342014
M1961,e,gem,626.3452843,1872.078121
M1961,EI,make,604.161678,1905.421701
M1961,EI,make,605.1177364,1898.086475
M1961,EI,game,531.5798376,2150.37737
M1961,EI,play,500.3441319,2011.971338
M1961,I,bit,461.475784,1840.579046
M1961,II,sleep,362.3217154,2402.555179
M1961,II,believe,340.9315954,2352.333941
M1961,II,easy,326.6765892,2418.866838
M1961,II,keeps,359.6961781,2494.861291
M1961,II,clean,377.3198864,2472.81357
M1961,II,treat,344.2714145,2397.500953
M1961,o,mall,742.9277731,1073.809265
M1961,o,loss,694.8908905,1078.999572
M1961,o,knob,775.6044347,1278.919217
