Stimulus	Response	Subject	Gender	Age	Outlier	u	ae	o	e	F1	F2	F1_u	F2_u	F1_o	F2_o	F1_e	F2_e	F1_ae	F2_ae
48	ae	F1950	F	O		0	1	0	0	950	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
47	u	F1950	F	O		1	0	0	0	850	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
46	o	F1950	F	O	2	0	0	1	0	700	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
45	e	F1950	F	O		0	0	0	1	750	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
44	ae	F1950	F	O		0	1	0	0	950	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
43	ae	F1950	F	O		0	1	0	0	950	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
42	e	F1950	F	O		0	0	0	1	800	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
41	u	F1950	F	O		1	0	0	0	850	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
40	o	F1950	F	O	2	0	0	1	0	700	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
39	u	F1950	F	O		1	0	0	0	850	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
38	o	F1950	F	O	2	0	0	1	0	750	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
37	u	F1950	F	O	2	1	0	0	0	950	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
36	u	F1950	F	O		1	0	0	0	800	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
35	ae	F1950	F	O		0	1	0	0	950	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
34	e	F1950	F	O		0	0	0	1	850	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
33	e	F1950	F	O		0	0	0	1	800	1750	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
32	ae	F1950	F	O		0	1	0	0	900	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
31	u	F1950	F	O		1	0	0	0	750	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
30	ae	F1950	F	O		0	1	0	0	950	1450	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
29	e	F1950	F	O		0	0	0	1	700	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
28	ae	F1950	F	O		0	1	0	0	850	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
27	u	F1950	F	O		1	0	0	0	700	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
26	e	F1950	F	O		0	0	0	1	700	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
25	u	F1950	F	O		1	0	0	0	900	1300	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
24	ae	F1950	F	O		0	1	0	0	900	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
23	ae	F1950	F	O		0	1	0	0	900	1550	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
22	e	F1950	F	O		0	0	0	1	800	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
21	e	F1950	F	O		0	0	0	1	700	1950	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
20	ae	F1950	F	O		0	1	0	0	950	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
19	e	F1950	F	O	2	0	0	0	1	700	1700	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
18	ae	F1950	F	O		0	1	0	0	900	1900	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
17	u	F1950	F	O		1	0	0	0	800	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
16	ae	F1950	F	O		0	1	0	0	950	1800	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
15	u	F1950	F	O		1	0	0	0	900	1250	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
14	ae	F1950	F	O		0	1	0	0	950	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
13	u	F1950	F	O		1	0	0	0	750	1350	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
12	u	F1950	F	O		1	0	0	0	800	1200	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
11	ae	F1950	F	O		0	1	0	0	800	1600	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
10	ae	F1950	F	O		0	1	0	0	850	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
9	u	F1950	F	O		1	0	0	0	800	1400	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
8	e	F1950	F	O		0	0	0	1	750	1850	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
7	ae	F1950	F	O		0	1	0	0	900	1650	566.249	1257.967	559.089	1159.247	549.139	1645.321	576.296	1458.831
102	ae	F1952	F	O		0	1	0	0	950	1550	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
101	ae	F1952	F	O		0	1	0	0	850	1400	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
100	u	F1952	F	O		1	0	0	0	750	1400	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
99	ae	F1952	F	O	1	0	1	0	0	950	1400	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
98	ae	F1952	F	O		0	1	0	0	900	1850	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
97	u	F1952	F	O		1	0	0	0	750	1450	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
96	ae	F1952	F	O		0	1	0	0	800	1250	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
95	ae	F1952	F	O		0	1	0	0	900	1350	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
94	o	F1952	F	O		0	0	1	0	750	1200	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
93	e	F1952	F	O	2	0	0	0	1	700	1600	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
92	o	F1952	F	O	2	0	0	1	0	850	1450	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
91	ae	F1952	F	O		0	1	0	0	800	1500	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
90	ae	F1952	F	O	1	0	1	0	0	850	1900	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
89	u	F1952	F	O	1	1	0	0	0	700	1450	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
88	ae	F1952	F	O		0	1	0	0	850	1700	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
87	ae	F1952	F	O	2	0	1	0	0	900	1500	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
86	o	F1952	F	O		0	0	1	0	950	1250	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
85	ae	F1952	F	O	2	0	1	0	0	850	1800	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
84	ae	F1952	F	O		0	1	0	0	850	1500	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
83	ae	F1952	F	O		0	1	0	0	900	1450	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
82	ae	F1952	F	O	1	0	1	0	0	950	1500	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
81	ae	F1952	F	O		0	1	0	0	750	1800	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
80	o	F1952	F	O		0	0	1	0	750	1250	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
79	e	F1952	F	O		0	0	0	1	700	1500	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
78	e	F1952	F	O	1	0	0	0	1	750	1750	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
77	o	F1952	F	O		0	0	1	0	900	1200	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
76	ae	F1952	F	O		0	1	0	0	900	1800	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
75	u	F1952	F	O		1	0	0	0	750	1600	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
74	ae	F1952	F	O		0	1	0	0	800	1700	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
73	u	F1952	F	O		1	0	0	0	700	1400	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
72	e	F1952	F	O		0	0	0	1	750	1950	568.759	1303.952	540.584	1094.664	509.578	1609.339	585.076	1482.964
