Age	Gender	Speaker	Vowel	Context	F1	F2
O	F	F1952	ae	lab	646.278	1304.826
O	F	F1952	ae	pass	665.946	1496.585
O	F	F1952	ae	valley	728.127	1387.886
O	F	F1952	ae	jazz	491.93	1517.417
O	F	F1952	ae	bad	653.334	1523.026
O	F	F1952	ae	pan	546.701	1584.452
O	F	F1952	ae	rat	540.527	1586.055
O	F	F1952	ae	sal	555.962	1474.685
O	F	F1950	ae	staff	576.336	1543.056
O	F	F1950	ae	stack	607.206	1561.484
O	F	F1950	ae	ham	558.961	1735.349
O	F	F1950	ae	lab	562.93	1417.264
O	F	F1950	ae	pass	564.253	1245.269
O	F	F1950	ae	valley	577.924	1282.125
O	F	F1950	ae	jazz	545.114	1207.345
O	F	F1950	ae	bad	550.759	1666.444
O	F	F1950	ae	pan	603.413	1727.604
O	F	F1950	ae	rat	592.741	1341.683
O	F	F1950	ae	sal	599.621	1319.515
O	F	F1937	ae	staff	666.652	1445.574
O	F	F1937	ae	stack	632.784	1469.611
O	F	F1937	ae	ham	633.754	1489.374
O	F	F1937	ae	lab	617.437	1449.58
O	F	F1937	ae	pass	644.161	1435.158
O	F	F1937	ae	valley	631.02	1401.507
O	F	F1937	ae	jazz	610.998	1392.694
O	F	F1937	ae	bad	575.631	1399.905
O	F	F1937	ae	pan	614.35	1479.76
O	F	F1937	ae	rat	650.776	1364.117
O	F	F1937	ae	sal	696.728	1488.573
