"Subject","Gender","Age","BirthYear","LabovHierarchy","Trial","Trial_c","F1","F2","F1_c","F2_c","RT","RT_c","LogRT","LogRT_c","Response","ChosenVowel","F1_ae","F2_ae","F1_e","F2_e","F1_o","F2_o","F1_u","F2_u","ED_e","ED_ae","ED_both"
"M1988","M","young",1988,2,13,-41.5,750,1350,-75,-225,1702,1172.05022321429,7.43955930913332,1.34277645847034,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,14,-40.5,950,1600,125,25,373,-156.949776785714,5.92157841964382,-0.175204431019167,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,15,-39.5,900,1250,75,-325,841,311.050223214286,6.73459165997295,0.637808809309965,"BOUGHT","o",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,16,-38.5,950,1800,125,225,668,138.050223214286,6.50428817353665,0.407505322873662,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,17,-37.5,800,1350,-25,-225,2070,1540.05022321429,7.63530388625941,1.53852103559643,"BUT","u",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,18,-36.5,900,1900,75,325,1557,1027.05022321429,7.350516171834,1.25373332117102,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,19,-35.5,700,1700,-125,125,2174,1644.05022321429,7.68432406768116,1.58754121701817,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,20,-34.5,950,1650,125,75,1281,751.050223214286,7.15539630189673,1.05861345123375,"BAT","ae",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,21,-33.5,700,1950,-125,375,399,-130.949776785714,5.98896141688986,-0.107821433773119,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
"M1988","M","young",1988,2,22,-32.5,800,1900,-25,325,1201,671.050223214286,7.09090982207998,0.994126971417001,"BET","e",597.872818181818,1474.32109090909,510.347545454545,1596.20372727273,569.817636363636,1114.28163636364,563.234727272727,1253.76681818182,132.179350013876,142.725568147468,137.452459080672
